feature_set,protocol,target,model,status,n_train,n_test,n_features,r2,r2_log1p,rmse,mae,mape
baseline,literature_2019_2020,A,ExtraTrees,ok,815,100,28,0.10314629743308401,0.07792336586951654,13.23823363619386,6.450882729420032,38.49828879751389
external_covariates,literature_2019_2020,A,XGBoost,ok,815,100,48,0.1323472335024758,0.05559299634165038,13.020936373196934,6.468841393966675,40.760651440640785
baseline,literature_2019_2020,B,PLSR,ok,815,100,28,0.041590321982617584,-0.003359037476672988,2.1280788400220074,0.983772852249528,235.23471194332836
external_covariates,literature_2019_2020,B,HistGBR,ok,815,100,48,0.07434714560372246,-0.10507237408989178,2.091395602496716,1.0360554918952194,258.3174674139263
baseline,literature_2019_2020,C,HistGBR,ok,815,100,28,0.15222463233936356,0.08140128433026761,48.248131619567715,24.624840304251105,38.768125637723976
external_covariates,literature_2019_2020,C,HistGBR,ok,815,100,48,0.07463451506207419,-0.00601985865701371,50.40768488095071,25.004700853493173,40.03017962332574
baseline,literature_2019_2020,D,HistGBR,ok,815,100,28,0.20247832892432693,-0.1861430924924099,51.40747643350627,24.537831165332115,63.37593714349271
external_covariates,literature_2019_2020,D,ExtraTrees,ok,815,100,48,0.10087734261384218,-0.11797750009228536,54.58389332235191,23.022347405459396,59.21490079583973
baseline,literature_2019_2020,E,RF,ok,815,100,28,0.10715794970182646,0.08881441047555094,10.608521282616513,7.413776815852195,27.399186387422635
external_covariates,literature_2019_2020,E,CatBoost,ok,815,100,48,0.12451455103653475,0.11391846667113503,10.50490187523605,7.03330670854061,26.145724790812675
baseline,literature_2019_2020,F,XGBoost,ok,815,100,28,0.1028483466874236,0.2665694592506146,81.29244588787594,37.55217211608886,58.88879427387661
external_covariates,literature_2019_2020,F,XGBoost,ok,815,100,48,0.13777967540601577,0.30398756403548866,79.69413986803819,37.150101334381105,57.37983445828867
baseline,literature_2019_2020,G,CatBoost,ok,815,100,28,-0.011846106672083856,-0.007651121824551188,125.33570776816286,49.236102846598115,37.02019725827784
external_covariates,literature_2019_2020,G,XGBoost,ok,815,100,48,0.01633880395827736,-0.027109916434430392,123.57777031287048,50.365152492675776,40.89246408166304
baseline,literature_2019_2020,H,RF,ok,815,100,28,0.4234550387085234,0.4193783180570465,0.2711049384504586,0.11734962310584443,88.42645304150848
external_covariates,literature_2019_2020,H,RF,ok,815,100,48,0.47516602456793355,0.47475431821873637,0.2586615103108469,0.11040958636615482,85.3940508879874
baseline,temporal_2021_2026,A,LightGBM,ok,915,57,28,0.2645018258554941,0.15025401651605685,13.911134179363685,7.52808028071739,51.188661584218345
external_covariates,temporal_2021_2026,A,LightGBM,ok,915,57,48,0.3515695880908313,0.2963478983499337,13.061811976576994,6.413069975850264,43.08339686364135
baseline,temporal_2021_2026,B,ElasticNet,ok,915,57,28,0.4412719531887863,0.2890797889040265,2.6850233109202963,1.3451517030951257,366.4735840460662
external_covariates,temporal_2021_2026,B,ElasticNet,ok,915,57,48,0.5044481796883015,0.3553736146948899,2.5286711996754008,1.2633616104791845,367.1861829598666
baseline,temporal_2021_2026,C,RF,ok,915,57,28,-0.07290228523540776,-0.3879651585666619,37.513820768743194,27.728152680777296,77.17139801662155
external_covariates,temporal_2021_2026,C,LightGBM,ok,915,57,48,-0.028975485442088944,-0.45688279355666417,36.73784927623287,28.25119973684941,82.89500848461185
baseline,temporal_2021_2026,D,PLSR,ok,915,57,28,0.17702150897470015,0.23272292651169968,38.992588398243925,16.314160887855817,37.306168763767104
external_covariates,temporal_2021_2026,D,ElasticNet,ok,915,57,48,0.18260006495310932,0.24448497235400857,38.86020814001053,15.956255149322107,35.920119085170995
baseline,temporal_2021_2026,E,PLSR,ok,915,57,28,0.3617345819020019,0.21197610524836308,15.81614370152429,8.434954737829893,26.341107697387763
external_covariates,temporal_2021_2026,E,XGBoost,ok,915,57,48,0.5265010921517347,0.2503879760605796,13.622582156043796,7.435978803935804,24.801275621286322
baseline,temporal_2021_2026,F,HistGBR,ok,915,57,28,-0.01983552781710385,-0.32546869022189684,969.8784534193396,211.01992215464537,60.63075853821179
external_covariates,temporal_2021_2026,F,HistGBR,ok,915,57,48,-0.013722728138690465,-0.299426902956744,966.9674039216626,212.16577083037643,64.71860398006024
baseline,temporal_2021_2026,G,CatBoost,ok,915,57,28,-1.1915167624447425,-0.5961200717121347,58.52762623348741,35.78146580122178,53.65029093970384
external_covariates,temporal_2021_2026,G,CatBoost,ok,915,57,48,-1.3640248715480876,-0.7234855487097589,60.787534996657975,37.270458563932785,57.11923410227768
baseline,temporal_2021_2026,H,NGBoost,ok,915,57,28,0.15001937352468264,0.22611285257746438,0.7333443664561747,0.20612459439518668,164.96471458510405
external_covariates,temporal_2021_2026,H,NGBoost,ok,915,57,48,0.14357128656126739,0.21005027196076886,0.7361207438539172,0.2053114090183844,170.00838386728554
