strategy,target,protocol,model,status,n_samples,n_train,n_test,train_year_min,train_year_max,test_year_min,test_year_max,r2,r2_log1p,rmse,mae,mape
basic,A,temporal,RF,ok,977,920,57,2000,2020,2021,2026,0.065213045409939,0.1425195489152964,15.682960969580465,7.495033414628748,47.68126522466481
basic,A,temporal,ExtraTrees,ok,977,920,57,2000,2020,2021,2026,0.1364802608650848,0.18079553938150128,15.073283757376482,7.013641296358371,46.50971844140225
basic,A,temporal,HistGBR,ok,977,920,57,2000,2020,2021,2026,0.1517809867480342,0.06737817403386803,14.939144970839745,7.926027374465946,54.10241026606787
basic,A,temporal,ElasticNet,ok,977,920,57,2000,2020,2021,2026,0.09675900370141555,0.12211210447338228,15.416065990224968,7.23839244579511,53.062633543246065
basic,A,temporal,PLSR,ok,977,920,57,2000,2020,2021,2026,0.051646342335884166,0.04205198000206578,15.796355603983775,7.652503512816938,56.599978108840475
basic,A,temporal,XGBoost,ok,977,920,57,2000,2020,2021,2026,0.1175032388414391,0.13844461106513684,15.238011613131913,7.250780827438623,48.29562210237867
basic,A,temporal,LightGBM,ok,977,920,57,2000,2020,2021,2026,0.15875315696376102,0.08254959566064402,14.877620067719613,7.7934589795201665,52.672589177945724
basic,A,temporal,CatBoost,ok,977,920,57,2000,2020,2021,2026,0.11565906933900638,0.16711572275204178,15.253924878658296,7.073912866360434,45.91126447502704
basic,A,temporal,NGBoost,ok,977,920,57,2000,2020,2021,2026,-0.14552184445115945,0.043387036555583625,17.360947661843337,7.939645971078703,49.43497581593198
basic,A,temporal,WeightedEnsemble,ok,977,920,57,2000,2020,2021,2026,0.039867989978808804,0.11900339856365749,15.894146607088445,7.535297852076848,48.26681459115979
basic,B,temporal,RF,ok,977,920,57,2000,2020,2021,2026,0.30817140343041927,0.3007784989057969,2.9877694277823603,1.401584699183281,353.3402014548655
basic,B,temporal,ExtraTrees,ok,977,920,57,2000,2020,2021,2026,0.2501696941464945,0.29578006730561457,3.1104936490650203,1.3852467096999963,331.9675373996117
basic,B,temporal,HistGBR,ok,977,920,57,2000,2020,2021,2026,0.05917008438245186,0.1600978790447215,3.4842024629496917,1.4004098912748497,308.0296790050751
basic,B,temporal,ElasticNet,ok,977,920,57,2000,2020,2021,2026,0.3667451705839492,0.24564675643337852,2.8584926481387787,1.4005733828583733,373.39259754680876
basic,B,temporal,PLSR,ok,977,920,57,2000,2020,2021,2026,0.1871247373276529,0.2126722988698736,3.2386183926160723,1.4936264259436123,372.3892915773704
basic,B,temporal,XGBoost,ok,977,920,57,2000,2020,2021,2026,0.09561146591513658,0.26137150826522504,3.4160588835918824,1.363101562548102,263.72118852104205
basic,B,temporal,LightGBM,ok,977,920,57,2000,2020,2021,2026,0.058400918818595327,0.16767996494880788,3.4856264084442437,1.419505641809624,331.783090630067
basic,B,temporal,CatBoost,ok,977,920,57,2000,2020,2021,2026,0.1824192603242164,0.2837560104496156,3.247978533637466,1.368473787661791,276.1580343276875
basic,B,temporal,NGBoost,ok,977,920,57,2000,2020,2021,2026,0.43501074587707134,0.3627539096169049,2.7000258256522014,1.1648539519143675,257.938411778286
basic,B,temporal,WeightedEnsemble,ok,977,920,57,2000,2020,2021,2026,0.46015588938894714,0.32132404454584673,2.63925898188425,1.2634619454634959,334.56357438055477
basic,C,temporal,RF,ok,977,920,57,2000,2020,2021,2026,-0.057182398794071165,-0.36609240825596046,37.237985279322,27.379177209513774,76.36545079949227
basic,C,temporal,ExtraTrees,ok,977,920,57,2000,2020,2021,2026,-0.06838620483015845,-0.45741168058100845,37.434785573237534,27.514209527113074,79.93932523211325
basic,C,temporal,HistGBR,ok,977,920,57,2000,2020,2021,2026,-0.16927748611054727,-0.5535489965412868,39.162463920838064,29.95666999468747,85.80679059920007
basic,C,temporal,ElasticNet,ok,977,920,57,2000,2020,2021,2026,-0.13472162712118574,-0.6145484934772636,38.57943651715607,30.772247205336694,90.09353424390657
basic,C,temporal,PLSR,ok,977,920,57,2000,2020,2021,2026,-0.32281099413684866,-0.8297814622281086,41.654326021299354,32.01133824487,91.81806734910013
